"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Brock-br","1","1","5","0","2","1","328","0","4","2","2","alive","0","0","158.72955","8","1456","2622.331","2622.331","-","-","1-Brock-br-Gambin-Metaleiro-PapaCharlie_021"
"Gambin-Metaleiro","1","4","0","0","0","0","0","0","0","0","2","alive","1","0","-","6","1456","2775.005734","2720.106","54.899734","-","1-Brock-br-Gambin-Metaleiro-PapaCharlie_021"
"PapaCharlie_021","1","2","2","0","1","0","281.98978","1","2","2","8","alive","0","0","104.622444","8","1456","2611.6843","2611.6843","-","-","1-Brock-br-Gambin-Metaleiro-PapaCharlie_021"
"Doomed_Aim","2","3","2","0","1","0","297.97467","0","1","5","6","byplayer","1","0","225.18834","10","1453","6403.4544","2726.814","3676.6404","-","2-Doomed_Aim-xA_N_D_R_Ex-Paulao23"
"xA_N_D_R_Ex","2","5","0","0","0","0","25.434624","0","0","1","3","byzone","0","0","-","8","1448","5956.1416","2228.656","3727.4856","-","2-Doomed_Aim-xA_N_D_R_Ex-Paulao23"
"Paulao23","2","6","0","0","0","0","88.61029","1","0","0","5","byplayer","0","0","-","10","1321","5484.9277","1585.2256","3899.7021","-","2-Doomed_Aim-xA_N_D_R_Ex-Paulao23"
"SALOMON_BR","3","9","0","0","0","0","78.49492","0","0","0","2","byplayer","0","0","-","7","1299","5480.9504","1493.2827","3987.6677","-","3-SALOMON_BR-SubZroz-xandexande"
"SubZroz","3","8","0","0","0","0","82","0","1","0","2","byplayer","0","0","-","9","1364","5971.6017","2079.2217","3892.38","-","3-SALOMON_BR-SubZroz-xandexande"
"xandexande","3","7","0","0","0","0","0","0","0","1","4","byplayer","0","0","-","7","1408","5527.878","1331.3258","4196.5522","-","3-SALOMON_BR-SubZroz-xandexande"
"WF_PROZIN","4","10","0","0","0","0","92.20237","0","1","0","2","byplayer","1","0","-","6","415","348.22546","348.22546","-","-","4-WF_PROZIN-ALEMAOFIRE13-PESADO-GAMEPLAY"
"ALEMAOFIRE13","4","11","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","6","368","384.49417","384.49417","-","-","4-WF_PROZIN-ALEMAOFIRE13-PESADO-GAMEPLAY"
"PESADO-GAMEPLAY","4","12","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","8","351","529.6623","529.6623","-","-","4-WF_PROZIN-ALEMAOFIRE13-PESADO-GAMEPLAY"
