"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"PapaCharlie_021","1","1","4","0","1","0","460.78418","2","2","3","4","alive","0","0","25.699152","9","1263","2316.5242","2316.5242","-","-","1-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex"
"Doomed_Aim","1","2","2","0","1","0","203.05423","1","2","1","1","byplayer","2","0","63.240704","9","1157","2418.4417","2418.4417","-","-","1-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex"
"xA_N_D_R_Ex","1","4","1","0","1","1","95.4904","0","0","2","3","alive","1","0","25.763252","6","1263","2480.9963","2480.9963","-","-","1-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex"
"TONY_LIMA","2","7","0","0","0","0","57.620003","0","1","1","4","byplayer","1","0","-","8","1260","2784.0916895","2770.394","0.1864595","13.51123","2-TONY_LIMA-SEUCUCAEU-jubileia14-Vaniqui762"
"SEUCUCAEU","2","5","1","0","1","1","101.38","0","2","3","2","byplayer","0","0","0.94319654","6","1260","3132.7314","3132.7314","-","-","2-TONY_LIMA-SEUCUCAEU-jubileia14-Vaniqui762"
"jubileia14","2","8","0","0","0","0","434.60916","1","2","2","9","byzone","0","0","-","7","1239","3074.267","3074.267","-","-","2-TONY_LIMA-SEUCUCAEU-jubileia14-Vaniqui762"
"Vaniqui762","2","6","1","0","1","0","103.355225","1","0","0","3","byzone","0","0","85.83194","5","1067","1463.3949","1463.3949","-","-","2-TONY_LIMA-SEUCUCAEU-jubileia14-Vaniqui762"
"Gambin-Metaleiro","3","9","0","0","0","0","23.654291","0","0","7","2","byplayer","0","0","-","3","1178","3275.9094","2066.2827","1209.6267","-","3-Gambin-Metaleiro-SALOMON_BR-EdlyCruz-xandexande"
"SALOMON_BR","3","3","2","0","2","1","296.05432","1","2","1","3","byplayer","0","0","71.83287","3","1086","3386.6493","1871.6846","1514.9647","-","3-Gambin-Metaleiro-SALOMON_BR-EdlyCruz-xandexande"
"EdlyCruz","3","11","0","0","0","0","22.679998","0","0","0","1","byzone","0","0","-","4","1052","2753.5141","1589.0029","1164.5112","-","3-Gambin-Metaleiro-SALOMON_BR-EdlyCruz-xandexande"
"xandexande","3","10","0","0","0","0","55.41334","0","0","2","1","byplayer","0","0","-","7","1178","3945.1023","1525.5953","2419.507","-","3-Gambin-Metaleiro-SALOMON_BR-EdlyCruz-xandexande"
"domRJ-","4","13","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","9","967","3814.8847","1229.2062","2585.6785","-","4-domRJ--BRP28-PESADO-GAMEPLAY"
"BRP28","4","14","0","0","0","0","23.624998","0","0","0","2","byplayer","0","0","-","5","940","3879.8642","1355.1752","2524.689","-","4-domRJ--BRP28-PESADO-GAMEPLAY"
"PESADO-GAMEPLAY","4","12","0","0","0","0","60.72684","0","0","0","0","byplayer","0","0","-","4","972","3912.0219","1276.7136","2635.3083","-","4-domRJ--BRP28-PESADO-GAMEPLAY"
"YJPQZDPTYV","5","15","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","5","223","196.68436","196.68436","-","-","5-YJPQZDPTYV"
