"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"PapaCharlie_021","1","2","2","0","1","0","315.57047","2","4","6","6","alive","1","0","93.324776","10","1589","3890.3635","2249.5757","1640.7878","-","1-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex-Paulao23"
"Doomed_Aim","1","1","6","0","1","0","346.52914","1","3","1","7","alive","0","0","253.48517","12","1589","4826.45","2589.3257","2237.1243","-","1-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex-Paulao23"
"xA_N_D_R_Ex","1","6","0","0","0","0","117.37637","1","0","3","1","byplayer","1","0","-","12","1528","3820.8556","2203.2542","1617.6014","-","1-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex-Paulao23"
"Paulao23","1","3","2","0","1","0","223.04694","0","3","2","6","alive","0","0","187.48827","9","1589","3891.067","1721.0875","2169.9795","-","1-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex-Paulao23"
"TONY_LIMA","2","4","1","0","1","0","402.47775","0","3","1","4","byplayer","1","0","137.20053","9","1537","7038.8","2526.8684","4511.9316","-","2-TONY_LIMA-Vaniqui762-SEUCUCAEU-jubileia14"
"Vaniqui762","2","9","0","0","0","0","0","0","0","0","2","byplayer","1","0","-","6","1373","6670.459","2229.4165","4441.0425","-","2-TONY_LIMA-Vaniqui762-SEUCUCAEU-jubileia14"
"SEUCUCAEU","2","8","0","0","0","0","27.401861","0","0","2","3","byzone","1","0","-","9","1447","6800.6851","2298.0498","4502.6353","-","2-TONY_LIMA-Vaniqui762-SEUCUCAEU-jubileia14"
"jubileia14","2","7","0","0","0","0","490.35373","0","3","1","5","byplayer","0","0","-","8","1586","6900.1317","2375.0227","4525.109","-","2-TONY_LIMA-Vaniqui762-SEUCUCAEU-jubileia14"
"Gambin-Metaleiro","3","11","0","0","0","0","0","0","0","0","4","byplayer","0","0","-","6","1165","5266.305","1225.6815","4040.6235","-","3-Gambin-Metaleiro-xandexande-dedel32010324-BRP28"
"xandexande","3","10","0","0","0","0","29.786667","0","1","2","8","byplayer","3","0","-","9","1508","6248.1856","1540.9286","4707.257","-","3-Gambin-Metaleiro-xandexande-dedel32010324-BRP28"
"dedel32010324","3","5","1","0","1","1","101.379005","0","1","8","3","byplayer","0","0","97.456795","12","1508","5129.4034","1520.8053","3608.5981","-","3-Gambin-Metaleiro-xandexande-dedel32010324-BRP28"
"BRP28","3","12","0","0","0","0","27.421524","0","0","1","4","byplayer","0","0","-","5","1161","5133.1039","1684.4921","3448.6118","-","3-Gambin-Metaleiro-xandexande-dedel32010324-BRP28"
"Ornelas-RP","4","14","0","0","0","0","146.70645","0","1","4","3","byzone","0","0","-","14","1441","3271.5067","1151.2316","2120.2751","-","4-Ornelas-RP-FISHERKILLER02-EdlyCruz-PESADO-GAMEPLAY"
"FISHERKILLER02","4","16","0","0","0","0","0","0","0","0","5","byplayer","0","0","-","5","1317","3129.92903","1012.86163","2117.0674","-","4-Ornelas-RP-FISHERKILLER02-EdlyCruz-PESADO-GAMEPLAY"
"EdlyCruz","4","15","0","0","0","0","0","0","0","1","0","byzone","0","0","-","6","1360","3185.337","1078.579","2106.758","-","4-Ornelas-RP-FISHERKILLER02-EdlyCruz-PESADO-GAMEPLAY"
"PESADO-GAMEPLAY","4","13","0","0","0","0","179.6811","0","0","1","2","byplayer","1","0","-","13","1460","3866.1202","1273.9122","2592.208","-","4-Ornelas-RP-FISHERKILLER02-EdlyCruz-PESADO-GAMEPLAY"
