"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Paulao23","1","3","1","0","1","0","138.40498","1","2","9","7","alive","0","0","57.03995","8","1537","9509.7101","1963.8395","7545.8706","-","1-Paulao23-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex"
"PapaCharlie_021","1","2","2","0","1","0","177.35533","0","1","8","7","alive","0","0","185.03476","11","1537","8607.1924","2245.5757","6361.6167","-","1-Paulao23-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex"
"Doomed_Aim","1","1","6","0","2","1","450.76462","0","4","5","6","alive","0","0","98.40485","8","1537","10136.6308","1728.1558","8408.475","-","1-Paulao23-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex"
"xA_N_D_R_Ex","1","7","0","0","0","0","85.60915","2","1","9","7","alive","2","0","-","14","1537","8212.9037","1418.205","6794.6987","-","1-Paulao23-PapaCharlie_021-Doomed_Aim-xA_N_D_R_Ex"
"WF_PROZIN","2","9","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","8","946","1778.3678","1778.3678","-","-","2-WF_PROZIN-FISHERKILLER02-Wfaoliveira_-PESADO-GAMEPLAY"
"FISHERKILLER02","2","5","1","0","1","0","149.81027","0","1","0","2","byzone","0","0","81.21534","8","1315","2992.7993","2992.7993","-","-","2-WF_PROZIN-FISHERKILLER02-Wfaoliveira_-PESADO-GAMEPLAY"
"Wfaoliveira_","2","4","1","0","1","0","200","0","1","2","3","byplayer","0","0","234.1195","8","1534","1559.1222","1559.1222","-","-","2-WF_PROZIN-FISHERKILLER02-Wfaoliveira_-PESADO-GAMEPLAY"
"PESADO-GAMEPLAY","2","8","0","0","0","0","145.19836","0","0","1","6","byplayer","1","0","-","24","1534","3132.176","3132.176","-","-","2-WF_PROZIN-FISHERKILLER02-Wfaoliveira_-PESADO-GAMEPLAY"
"MaindFu","3","10","0","0","0","0","168.58748","1","2","4","3","byplayer","0","0","-","8","1235","4544.0886","1955.1782","2588.9104","-","3-MaindFu"
"jubileia14","4","11","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","8","1233","3876.0802","1323.6317","2552.4485","-","4-jubileia14-Vaniqui762-TONY_LIMA"
"Vaniqui762","4","12","0","0","0","0","75.76526","0","0","1","0","byplayer","0","0","-","3","1220","5181.9712","2132.5486","3049.4226","-","4-jubileia14-Vaniqui762-TONY_LIMA"
"TONY_LIMA","4","6","1","0","1","0","210.09761","0","0","1","4","byplayer","1","0","203.89552","10","1233","4166.7591","1536.4329","2630.3262","-","4-jubileia14-Vaniqui762-TONY_LIMA"
"dedel32010324","5","16","0","0","0","0","5.143798","0","0","0","2","byplayer","0","0","-","7","673","2335.56185","617.11255","1718.4493","-","5-dedel32010324-TwiiSteRxDnS-xandexande-Al3Mrcs"
"TwiiSteRxDnS","5","13","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","9","778","3603.2603","1213.9971","2389.2632","-","5-dedel32010324-TwiiSteRxDnS-xandexande-Al3Mrcs"
"xandexande","5","15","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","10","686","2353.36564","684.24994","1669.1157","-","5-dedel32010324-TwiiSteRxDnS-xandexande-Al3Mrcs"
"Al3Mrcs","5","14","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","7","709","2619.6204","966.1183","1653.5021","-","5-dedel32010324-TwiiSteRxDnS-xandexande-Al3Mrcs"
