"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Paulao23","1","7","1","0","1","0","93.97768","0","0","1","2","alive","0","0","25.308506","5","1302","2949.7056","2949.7056","-","-","1-Paulao23-xA_N_D_R_Ex-Doomed_Aim-PapaCharlie_021"
"xA_N_D_R_Ex","1","8","0","0","0","0","0","0","0","0","2","alive","0","0","-","4","1302","3137.5325","3137.5325","-","-","1-Paulao23-xA_N_D_R_Ex-Doomed_Aim-PapaCharlie_021"
"Doomed_Aim","1","1","3","0","1","0","376","1","2","4","4","alive","0","0","122.179924","10","1302","3896.051","2563.4316","1332.6194","-","1-Paulao23-xA_N_D_R_Ex-Doomed_Aim-PapaCharlie_021"
"PapaCharlie_021","1","6","1","0","1","0","145.56","1","1","0","1","alive","0","0","69.270294","7","1302","3143.587","3143.587","-","-","1-Paulao23-xA_N_D_R_Ex-Doomed_Aim-PapaCharlie_021"
"Vaniqui762","2","10","0","0","0","0","144.4366","1","0","1","2","byplayer","0","0","-","6","862","1918.7008","1918.7008","-","-","2-Vaniqui762-MaindFu-jubileia14-TONY_LIMA"
"MaindFu","2","9","0","0","0","0","56.7763","1","0","0","0","byplayer","0","0","-","7","864","1642.8391","1642.8391","-","-","2-Vaniqui762-MaindFu-jubileia14-TONY_LIMA"
"jubileia14","2","4","2","0","1","0","225.46167","1","2","1","4","byplayer","0","0","24.657133","9","1228","3060.712","3060.712","-","-","2-Vaniqui762-MaindFu-jubileia14-TONY_LIMA"
"TONY_LIMA","2","3","2","0","1","1","394.68878","0","2","6","3","byplayer","0","0","53.15712","9","1299","2423.780128615","2423.6614","0.118728615","-","2-Vaniqui762-MaindFu-jubileia14-TONY_LIMA"
"Wfaoliveira_","3","12","0","0","0","0","0","0","0","1","3","byzone","0","0","-","6","1066","1971.0012","1971.0012","-","-","3-Wfaoliveira_-FISHERKILLER02-Pdr4uM-WF_PROZIN"
"FISHERKILLER02","3","11","0","0","0","0","90.93959","0","0","1","3","byplayer","0","0","-","5","1171","2171.7524","2171.7524","-","-","3-Wfaoliveira_-FISHERKILLER02-Pdr4uM-WF_PROZIN"
"WF_PROZIN","3","13","0","0","0","0","0","0","0","0","1","byzone","0","0","-","7","1051","2014.6016","2014.6016","-","-","3-Wfaoliveira_-FISHERKILLER02-Pdr4uM-WF_PROZIN"
"Beto_S","4","5","2","0","1","0","182.2567","1","2","0","2","byplayer","2","0","98.24101","5","869","2349.773","2349.773","-","-","4-Beto_S-Pixadao-LEOssouza-L0Ki_jp"
"Pixadao","4","15","0","0","0","0","76.08","0","0","1","2","byplayer","0","0","-","7","707","2230.6904","2230.6904","-","-","4-Beto_S-Pixadao-LEOssouza-L0Ki_jp"
"LEOssouza","4","2","3","0","2","1","334.72092","1","2","5","2","byplayer","0","0","11.377917","5","899","2365.473","2365.473","-","-","4-Beto_S-Pixadao-LEOssouza-L0Ki_jp"
"L0Ki_jp","4","14","0","0","0","0","68.880005","1","0","2","3","byplayer","0","0","-","6","889","2070.1135","2070.1135","-","-","4-Beto_S-Pixadao-LEOssouza-L0Ki_jp"
"Pdr4uM","5","20","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","121","82.88826","82.88826","-","-","3-Wfaoliveira_-FISHERKILLER02-Pdr4uM-WF_PROZIN"
"PESADO-GAMEPLAY","5","16","0","0","0","0","0","0","1","0","0","suicide","0","0","-","4","550","966.01523","674.01416","292.00107","-","5-PESADO-GAMEPLAY-dedel32010324-Al3Mrcs-xandexande"
"dedel32010324","5","19","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","6","527","1107.91707","894.2657","213.65137","-","5-PESADO-GAMEPLAY-dedel32010324-Al3Mrcs-xandexande"
"Al3Mrcs","5","17","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","4","550","1129.7615","1129.7615","-","-","5-PESADO-GAMEPLAY-dedel32010324-Al3Mrcs-xandexande"
"xandexande","5","18","0","0","0","0","121.79994","0","1","0","0","byplayer","0","0","-","12","550","778.92865","778.92865","-","-","5-PESADO-GAMEPLAY-dedel32010324-Al3Mrcs-xandexande"
