"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Vaniqui762","1","1","2","0","1","0","208.96907","0","2","1","4","alive","1","0","61.4115","5","986","1676.455702","1619.5474","-","56.908302","1-Vaniqui762-MaindFu-TONY_LIMA-PuroCremeD0Milho"
"MaindFu","1","2","2","0","1","1","107.48681","0","1","2","1","alive","1","0","176.78691","9","986","1544.29444","1466.0428","-","78.25164","1-Vaniqui762-MaindFu-TONY_LIMA-PuroCremeD0Milho"
"TONY_LIMA","1","8","0","0","0","0","100","1","1","1","1","alive","0","0","-","13","986","1720.319355","1653.479","-","66.840355","1-Vaniqui762-MaindFu-TONY_LIMA-PuroCremeD0Milho"
"PuroCremeD0Milho","1","7","0","0","0","0","107.18596","1","0","1","3","alive","0","0","-","4","986","1378.05098","1236.5565","-","141.49448","1-Vaniqui762-MaindFu-TONY_LIMA-PuroCremeD0Milho"
"FISHERKILLER02","2","9","0","0","0","0","92.25311","0","0","1","4","byplayer","0","0","-","3","983","1930.904","1930.904","-","-","2-FISHERKILLER02-Wfaoliveira_-Pavanelli-ZO-Lukz3r4-"
"Wfaoliveira_","2","5","1","0","1","0","74.38697","0","1","5","4","byplayer","0","0","94.465065","7","983","2211.216","2211.216","-","-","2-FISHERKILLER02-Wfaoliveira_-Pavanelli-ZO-Lukz3r4-"
"Pavanelli-ZO","2","10","0","0","0","0","0","0","0","5","6","byzone","0","0","-","5","901","1979.8011","1979.8011","-","-","2-FISHERKILLER02-Wfaoliveira_-Pavanelli-ZO-Lukz3r4-"
"Lukz3r4-","2","3","2","0","1","1","636.87146","0","3","5","5","byplayer","1","0","17.832865","6","951","2354.7715","2354.7715","-","-","2-FISHERKILLER02-Wfaoliveira_-Pavanelli-ZO-Lukz3r4-"
"PapaCharlie_021","3","4","2","0","1","1","279.4437","0","1","2","1","byplayer","0","0","149.5735","10","830","1366.6108","1366.6108","-","-","3-PapaCharlie_021-xA_N_D_R_Ex-Doomed_Aim"
"xA_N_D_R_Ex","3","11","0","0","0","0","79.965","0","0","0","4","byplayer","0","0","-","14","830","1174.4669","1174.4669","-","-","3-PapaCharlie_021-xA_N_D_R_Ex-Doomed_Aim"
"Doomed_Aim","3","12","0","0","0","0","98.86341","0","0","1","3","byplayer","0","0","-","7","634","1114.8988","1114.8988","-","-","3-PapaCharlie_021-xA_N_D_R_Ex-Doomed_Aim"
"Al3Mrcs","4","13","0","0","0","0","100","0","1","1","3","byplayer","0","0","-","5","666","548.5684","548.5684","-","-","4-Al3Mrcs-dedel32010324-xandexande"
"dedel32010324","4","14","0","0","0","0","0","0","0","1","2","byplayer","0","0","-","11","654","1163.6554","1163.6554","-","-","4-Al3Mrcs-dedel32010324-xandexande"
"xandexande","4","6","1","0","1","0","0","0","0","0","1","byplayer","0","0","38.54788","7","644","1053.7562","1053.7562","-","-","4-Al3Mrcs-dedel32010324-xandexande"
