"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"PESADO-GAMEPLAY","1","6","0","0","0","0","47.262497","1","0","7","3","byplayer","0","0","-","16","1503","6988.3239","1637.1049","5351.219","-","1-PESADO-GAMEPLAY-XxShionBRxX-TONY_LIMA-NoteBM"
"XxShionBRxX","1","7","0","0","0","0","81.96393","0","0","1","3","byplayer","0","0","-","14","1468","7502.4636","2090.8516","5411.612","-","1-PESADO-GAMEPLAY-XxShionBRxX-TONY_LIMA-NoteBM"
"TONY_LIMA","1","5","0","0","0","0","57.082497","1","0","1","3","alive","0","0","-","8","1511","8083.7488","1518.1775","6565.5713","-","1-PESADO-GAMEPLAY-XxShionBRxX-TONY_LIMA-NoteBM"
"NoteBM","1","2","2","0","1","0","125.52569","0","0","1","2","alive","1","0","220.84198","12","1511","7808.9067","1615.2397","6193.667","-","1-PESADO-GAMEPLAY-XxShionBRxX-TONY_LIMA-NoteBM"
"MaindFu","2","9","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","9","1168","5107.4444","1493.8228","3613.6216","-","2-MaindFu-Vaniqui762-DoriToOs-_--PuroCremeD0Milho"
"Vaniqui762","2","10","0","0","0","0","0","0","0","2","0","byplayer","0","0","-","3","984","4958.3454","1286.0554","3672.29","-","2-MaindFu-Vaniqui762-DoriToOs-_--PuroCremeD0Milho"
"DoriToOs-_-","2","1","9","0","3","2","1037.7188","0","8","1","8","byplayer","0","0","191.75829","9","1508","6261.56133","2309.815","3914.3906","37.35573","2-MaindFu-Vaniqui762-DoriToOs-_--PuroCremeD0Milho"
"PuroCremeD0Milho","2","8","0","0","0","0","173.6153","1","0","0","4","byplayer","0","0","-","10","1253","5144.8732429","5114.3726","0.6010479","29.899595","2-MaindFu-Vaniqui762-DoriToOs-_--PuroCremeD0Milho"
"FISHERKILLER02","3","12","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","4","764","197.151238","13.182228","-","183.96901","3-FISHERKILLER02-xandexande-dedel32010324-Al3Mrcs"
"xandexande","3","11","0","0","0","0","0","0","0","3","4","byplayer","0","0","-","8","902","366.4675","366.4675","-","-","3-FISHERKILLER02-xandexande-dedel32010324-Al3Mrcs"
"dedel32010324","3","4","1","0","1","0","100","0","1","4","3","byplayer","0","0","10.084299","8","1396","1115.5953","1115.5953","-","-","3-FISHERKILLER02-xandexande-dedel32010324-Al3Mrcs"
"Al3Mrcs","3","3","2","0","1","0","200.04251","1","2","1","2","byplayer","0","0","59.83101","7","1348","905.35565","905.35565","-","-","3-FISHERKILLER02-xandexande-dedel32010324-Al3Mrcs"
"Wfaoliveira_","4","15","0","0","0","0","18.9","0","0","10","9","byplayer","0","0","-","8","1343","8252.6503","1605.4408","6647.2095","-","4-Wfaoliveira_-xA_N_D_R_Ex-Doomed_Aim-Gambin-Metaleiro"
"xA_N_D_R_Ex","4","13","0","0","0","0","100.37334","0","0","5","6","byplayer","0","0","-","13","1353","8075.2767","1282.7477","6792.529","-","4-Wfaoliveira_-xA_N_D_R_Ex-Doomed_Aim-Gambin-Metaleiro"
"Doomed_Aim","4","16","0","0","0","0","184.47429","0","1","4","5","byplayer","0","0","-","6","1326","8678.1348","1812.0015","6866.1333","-","4-Wfaoliveira_-xA_N_D_R_Ex-Doomed_Aim-Gambin-Metaleiro"
"Gambin-Metaleiro","4","14","0","0","0","0","0","0","0","6","6","byplayer","0","0","-","5","1344","8636.1317","1438.3397","7197.792","-","4-Wfaoliveira_-xA_N_D_R_Ex-Doomed_Aim-Gambin-Metaleiro"
