"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Vaniqui762","1","3","1","0","1","0","179.53076","0","2","4","4","alive","0","0","10.680708","7","1512","8793.7642","1266.8599","7526.9043","-","1-Vaniqui762-TONY_LIMA-PuroCremeD0Milho-NoteBM"
"TONY_LIMA","1","9","0","0","0","0","0","0","0","3","1","byplayer","0","0","-","6","630","2379.6145","2379.6145","-","-","1-Vaniqui762-TONY_LIMA-PuroCremeD0Milho-NoteBM"
"PuroCremeD0Milho","1","8","0","0","0","0","0","0","0","5","5","byplayer","1","0","-","8","1219","242.9276","242.9276","-","-","1-Vaniqui762-TONY_LIMA-PuroCremeD0Milho-NoteBM"
"NoteBM","1","1","3","0","2","0","304.08093","0","1","6","6","alive","0","0","16.468086","10","1512","697.9886","697.9886","-","-","1-Vaniqui762-TONY_LIMA-PuroCremeD0Milho-NoteBM"
"dedel32010324","2","10","0","0","0","0","41.74461","0","0","6","6","byplayer","0","0","-","13","1509","6794.9069","593.3092","6201.5977","-","2-dedel32010324-Al3Mrcs-Gambin-Metaleiro"
"Al3Mrcs","2","11","0","0","0","0","204.03957","0","0","8","6","byplayer","0","0","-","4","1509","7319.16894","889.03564","6430.1333","-","2-dedel32010324-Al3Mrcs-Gambin-Metaleiro"
"Gambin-Metaleiro","2","12","0","0","0","0","0","0","0","8","3","byplayer","0","0","-","2","1036","5831.488","703.072","5128.416","-","2-dedel32010324-Al3Mrcs-Gambin-Metaleiro"
"Doomed_Aim","3","5","1","0","1","0","118.00001","0","1","3","3","byplayer","0","0","7.1669593","8","1347","6256.8442","2073.3525","4183.4917","-","3-Doomed_Aim-xA_N_D_R_Ex-MaindFu"
"xA_N_D_R_Ex","3","4","1","0","1","0","227.8","0","2","1","7","byplayer","1","1","20.934563","8","1347","5597.573","1686.6553","3910.9177","-","3-Doomed_Aim-xA_N_D_R_Ex-MaindFu"
"MaindFu","3","13","0","0","0","0","34.813854","2","0","0","4","byplayer","0","0","-","10","1347","5403.0951","1790.5381","3612.557","-","3-Doomed_Aim-xA_N_D_R_Ex-MaindFu"
