"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"SUQUINHO-","1","1","3","0","1","2","450.60843","0","3","3","9","alive","2","0","41.883324","5","1406","6190.2155","987.8345","5202.381","-","1-SUQUINHO--Doomed_Aim-xA_N_D_R_Ex"
"Doomed_Aim","1","4","1","0","1","0","203.39758","0","1","0","5","byplayer","0","0","19.484943","13","1196","6360.6962","1556.9052","4803.791","-","1-SUQUINHO--Doomed_Aim-xA_N_D_R_Ex"
"xA_N_D_R_Ex","1","6","0","0","0","0","136.99294","1","0","2","4","alive","1","0","-","7","1406","7547.2749","1627.4985","5919.7764","-","1-SUQUINHO--Doomed_Aim-xA_N_D_R_Ex"
"SubZroz","2","2","2","0","1","0","82.94148","0","1","0","0","byplayer","0","0","28.532185","8","1028","1398.6552","1398.6552","-","-","2-SubZroz-Gambin-Metaleiro-Slokuz-Willzao95"
"Gambin-Metaleiro","2","7","0","0","0","0","0","0","0","11","2","suicide","0","0","-","4","897","2693.9159","831.8856","1862.0303","-","2-SubZroz-Gambin-Metaleiro-Slokuz-Willzao95"
"Slokuz","2","8","0","0","0","0","0","0","1","2","0","byplayer","0","1","-","8","620","51.968697","51.968697","-","-","2-SubZroz-Gambin-Metaleiro-Slokuz-Willzao95"
"Willzao95","2","9","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","3","472","285.44373","285.44373","-","-","2-SubZroz-Gambin-Metaleiro-Slokuz-Willzao95"
"SALOMON_BR","3","5","1","0","1","0","294.61908","1","2","2","6","byplayer","1","0","120.51485","5","1384","5480.7019","2512.6309","2968.071","-","3-SALOMON_BR-PESADO-GAMEPLAY-xandexande"
"PESADO-GAMEPLAY","3","3","2","0","1","0","410.97845","1","3","3","6","byplayer","0","0","57.398663","6","1338","5147.2022","2822.4312","2324.771","-","3-SALOMON_BR-PESADO-GAMEPLAY-xandexande"
"xandexande","3","10","0","0","0","0","91.62477","0","1","14","4","byplayer","0","0","-","6","1362","5356.0543","2526.6013","2829.453","-","3-SALOMON_BR-PESADO-GAMEPLAY-xandexande"
