"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"WF_PROZIN","1","3","1","0","1","0","164.89233","0","0","1","2","alive","0","0","97.1467","5","802","1362.203","1362.203","-","-","1-WF_PROZIN-xA_N_D_R_Ex-Doomed_Aim"
"xA_N_D_R_Ex","1","2","2","0","1","1","221.20001","1","1","1","4","alive","0","0","34.471237","7","802","1714.3918","1714.3918","-","-","1-WF_PROZIN-xA_N_D_R_Ex-Doomed_Aim"
"Doomed_Aim","1","4","1","0","1","0","116.70399","0","1","1","4","byplayer","1","0","66.15867","14","738","1691.9159","1691.9159","-","-","1-WF_PROZIN-xA_N_D_R_Ex-Doomed_Aim"
"SALOMON_BR","2","8","0","0","0","0","112.75316","0","0","0","2","byzone","0","0","-","7","572","1197.6261","1197.6261","-","-","2-SALOMON_BR-PESADO-GAMEPLAY-xandexande"
"PESADO-GAMEPLAY","2","6","0","0","0","0","161.02267","0","0","3","3","byplayer","0","0","-","6","799","1285.4792","1285.4792","-","-","2-SALOMON_BR-PESADO-GAMEPLAY-xandexande"
"xandexande","2","7","0","0","0","0","0","0","0","0","2","byzone","0","0","-","10","591","965.4693","965.4693","-","-","2-SALOMON_BR-PESADO-GAMEPLAY-xandexande"
"Paulao23","3","9","0","0","0","0","0","1","0","0","1","byplayer","0","0","-","9","669","708.0324","708.0324","-","-","3-Paulao23-PapaCharlie_021"
"PapaCharlie_021","3","1","3","0","1","0","311.76294","0","2","5","2","byplayer","0","0","55.376347","5","755","1249.6451","1249.6451","-","-","3-Paulao23-PapaCharlie_021"
"Brock-br","4","10","0","0","0","0","92.25","0","0","0","0","byplayer","0","0","-","2","348","1.3439918","1.3439918","-","-","4-Brock-br-SubZroz"
"SubZroz","4","5","1","0","1","1","74.296005","0","1","0","1","byplayer","0","0","59.069393","6","678","1376.1334","1376.1334","-","-","4-Brock-br-SubZroz"
