"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Paulao23","1","2","1","0","1","0","100","0","1","2","2","alive","1","0","18.383913","6","1041","5435.8469","1621.8406","3814.0063","-","1-Paulao23-PapaCharlie_021-PESADO-GAMEPLAY-SubZroz"
"PapaCharlie_021","1","1","5","0","2","1","518.15","0","3","1","2","alive","0","0","31.76029","8","1041","4853.7944","2288.2744","2565.52","-","1-Paulao23-PapaCharlie_021-PESADO-GAMEPLAY-SubZroz"
"PESADO-GAMEPLAY","1","5","0","0","0","0","0","0","0","1","2","alive","0","0","-","6","1041","4940.2239","1378.208","3562.0159","-","1-Paulao23-PapaCharlie_021-PESADO-GAMEPLAY-SubZroz"
"SubZroz","1","6","0","0","0","0","0","0","0","2","1","alive","0","0","-","11","1041","4640.3282","1836.3226","2804.0056","-","1-Paulao23-PapaCharlie_021-PESADO-GAMEPLAY-SubZroz"
"SALOMON_BR","2","8","0","0","0","0","143.0563","0","1","0","2","byplayer","0","0","-","5","1038","2594.27059","2556.9016","-","37.36899","2-SALOMON_BR-Willzao95-xandexande-Brock-br"
"Willzao95","2","3","1","0","1","0","100","0","1","1","5","byplayer","0","0","31.020958","9","994","2218.063956","2181.4583","-","36.605656","2-SALOMON_BR-Willzao95-xandexande-Brock-br"
"xandexande","2","7","0","0","0","0","138.48018","0","0","1","6","byplayer","0","0","-","12","1038","2525.57816","2489.797","-","35.78116","2-SALOMON_BR-Willzao95-xandexande-Brock-br"
"Brock-br","2","9","0","0","0","0","57.809998","0","0","1","2","byplayer","0","0","-","8","977","2622.235958","2587.4202","-","34.815758","2-SALOMON_BR-Willzao95-xandexande-Brock-br"
"SUQUINHO-","3","11","0","0","0","0","83.16","0","0","0","0","byplayer","0","0","-","8","1001","399.9696","399.9696","-","-","3-SUQUINHO--Doomed_Aim-xA_N_D_R_Ex-Gambin-Metaleiro"
"Doomed_Aim","3","12","0","0","0","0","150.50105","0","0","1","4","byplayer","0","0","-","13","993","405.59763","405.59763","-","-","3-SUQUINHO--Doomed_Aim-xA_N_D_R_Ex-Gambin-Metaleiro"
"xA_N_D_R_Ex","3","10","0","0","0","0","76.86","0","0","0","1","byplayer","0","0","-","13","1006","2431.110775","2345.8801","-","85.230675","3-SUQUINHO--Doomed_Aim-xA_N_D_R_Ex-Gambin-Metaleiro"
"Gambin-Metaleiro","3","4","1","0","1","1","87.08498","0","1","1","0","byplayer","0","0","8.594226","6","1017","2426.599026","2309.7542","-","116.844826","3-SUQUINHO--Doomed_Aim-xA_N_D_R_Ex-Gambin-Metaleiro"
