"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"domRJ-","1","1","5","0","1","1","558.48755","0","0","0","13","alive","0","0","26.543224","11","1585","2372.2515","2372.2515","-","-","1-domRJ-"
"xandexande","2","5","0","0","0","0","69.639984","0","0","1","7","byplayer","0","0","-","7","1582","6578.5325","1823.597","4754.9355","-","2-xandexande"
"gabrielhoffmann","3","2","2","0","1","2","305.6725","0","0","0","4","byplayer","0","0","100.27917","6","1508","807.890327","746.0326","22.43214","39.425587","3-gabrielhoffmann"
"Al3Mrcs","4","6","0","0","0","0","35.64","0","0","0","1","byplayer","0","0","-","5","1447","5703.4363","1487.7898","4215.6465","-","4-Al3Mrcs"
"WF_PROZIN","5","3","1","0","1","0","86.90427","0","0","0","4","byplayer","0","0","16.81906","9","1388","4446.24055","2381.7415","1991.8721","72.62695","5-WF_PROZIN"
"Gambin-Metaleiro","6","7","0","0","0","0","0","0","0","5","5","byplayer","0","0","-","8","1337","2426.97999","871.0344","1507.9519","47.99369","6-Gambin-Metaleiro"
"xCHUMELAx","7","4","1","0","1","0","102","0","1","11","8","byplayer","0","0","23.77647","5","1176","1508.84625","356.99985","1151.8464","-","7-xCHUMELAx"
"BRP28","8","8","0","0","0","0","78.543526","0","0","0","3","byplayer","0","0","-","7","1094","4305.7162","1480.5062","2825.21","-","8-BRP28"
"xA_N_D_R_Ex","9","9","0","0","0","0","26.4","0","0","0","3","byplayer","0","0","-","5","987","2375.4484","6.2134","2369.235","-","9-xA_N_D_R_Ex"
"SALOMON_BR","10","10","0","0","0","0","48","0","0","1","3","byplayer","0","0","-","4","926","10387.76026","621.14526","9766.615","-","10-SALOMON_BR"
