"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Tauzudu","1","1","6","0","1","1","533.83563","0","0","1","10","alive","0","0","44.68616","16","1558","9702.7727","1269.6667","8433.106","-","1-Tauzudu"
"xCHUMELAx","2","2","1","0","1","1","193.27081","0","0","0","12","byplayer","0","0","308.83228","10","1555","2300.3086","2300.3086","-","-","2-xCHUMELAx"
"PESADO-GAMEPLAY","3","6","0","0","0","0","0","0","0","2","6","suicide","0","0","-","7","1538","7555.7703","2340.1829","5215.5874","-","3-PESADO-GAMEPLAY"
"xandexande","4","7","0","0","0","0","85.80796","0","0","0","5","byplayer","0","0","-","9","1459","1062.2275","1062.2275","-","-","4-xandexande"
"WF_PROZIN","5","8","0","0","0","0","0","0","0","0","4","byplayer","0","0","-","11","1299","3142.9535","2019.3059","1123.6476","-","5-WF_PROZIN"
"SALOMON_BR","6","3","1","0","1","0","158.212","0","0","2","2","byplayer","0","0","12.988472","5","1201","8344.9724","540.1024","7804.87","-","6-SALOMON_BR"
"xA_N_D_R_Ex","7","4","1","0","1","0","158.31656","0","0","3","6","byplayer","0","0","214.73425","9","1031","6130.7805","387.175","5743.6055","-","7-xA_N_D_R_Ex"
"erikao019","8","9","0","0","0","0","106.424995","0","0","4","5","byplayer","0","0","-","6","1005","5519.5799","1350.0975","4169.4824","-","8-erikao019"
"GleisonTheBesT","9","5","1","0","1","0","130.5468","0","0","1","0","byplayer","0","0","11.681513","6","849","6081.19115","827.42065","5253.7705","-","9-GleisonTheBesT"
"EdlyCruz","10","10","0","0","0","0","0","0","0","1","1","suicide","0","0","-","5","769","4878.1202","1407.7764","3470.3438","-","10-EdlyCruz"
"Paulao23","11","11","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","3","726","4563.0382","648.9288","3914.1094","-","11-Paulao23"
"Brock-br","12","12","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","12","645","1232.81613","896.0354","336.78073","-","12-Brock-br"
"Pavanelli-ZO","13","13","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","1","115","10.536024","10.536024","-","-","13-Pavanelli-ZO"
