"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Tauzudu","1","1","3","0","1","1","454.86136","0","0","1","10","alive","0","0","140.37915","7","1571","14354.7134","1172.0074","13182.706","-","1-Tauzudu"
"Doomed_Aim","2","2","2","0","1","0","324.01306","0","1","0","6","byplayer","0","0","23.93335","8","1568","8552.8152","2022.4622","6530.353","-","2-Doomed_Aim"
"PESADO-GAMEPLAY","3","7","0","0","0","0","0","0","0","1","6","byplayer","0","0","-","5","1398","4787.96286","2081.2432","2302.3926","404.32706","3-PESADO-GAMEPLAY"
"xA_N_D_R_Ex","4","5","1","0","1","1","83.43682","0","0","1","2","byplayer","0","0","176.11723","8","1392","4778.4812","2998.468","1780.0132","-","4-xA_N_D_R_Ex"
"Weslleycxrloko","5","3","2","0","1","0","420.99545","0","1","6","5","byplayer","0","0","142.02248","6","1337","6946.1795","1283.389","5662.7905","-","5-Weslleycxrloko"
"WF_PROZIN","6","8","0","0","0","0","40.39011","0","0","0","8","byzone","1","0","-","10","1181","5734.45316","588.21686","5146.2363","-","6-WF_PROZIN"
"Gambin-Metaleiro","7","9","0","0","0","0","19.8","0","0","1","4","byplayer","0","0","-","3","1140","7573.04028","1592.7191","5750.685","229.63618","7-Gambin-Metaleiro"
"xandexande","8","6","1","0","1","0","204.28392","0","0","2","3","byplayer","0","0","245.38623","5","934","5572.83715","741.29315","4831.544","-","8-xandexande"
"fb-gg-MidiGamer","9","4","2","0","1","0","200.00002","0","0","1","2","byplayer","0","0","34.562023","8","771","2943.4303","1346.1323","1597.298","-","9-fb-gg-MidiGamer"
"BRP28","10","10","0","0","0","0","28.38","0","0","0","0","byplayer","0","0","-","4","708","5070.85805","1005.63025","4065.2278","-","10-BRP28"
"GaroX-","11","11","0","0","0","0","23.75","0","0","1","1","byplayer","0","0","-","8","539","289.27924","289.27924","-","-","11-GaroX-"
"Brock-br","12","12","0","0","0","0","94.71","0","0","0","0","byplayer","0","0","-","8","483","598.83325","598.83325","-","-","12-Brock-br"
"erikao019","13","13","0","0","0","0","80.02374","0","0","2","2","byplayer","0","0","-","3","351","121.75333","121.75333","-","-","13-erikao019"
