"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"PapaCharlie_021","1","1","3","0","1","0","291.77115","0","0","6","9","alive","0","0","228.97769","12","1519","8892.5112","1313.2368","7579.2744","-","1-PapaCharlie_021"
"SALOMON_BR","2","3","2","0","1","2","310.60083","0","0","2","3","byplayer","0","0","109.31306","6","1516","12849.6354","1349.8064","11499.829","-","2-SALOMON_BR"
"ALEMAOFIRE13","3","4","1","0","1","1","160.95772","0","0","5","9","byplayer","0","0","69.041916","11","1475","9492.8492","1138.5072","8354.342","-","3-ALEMAOFIRE13"
"xCHUMELAx","4","7","0","0","0","0","57.440628","0","0","4","10","byplayer","0","0","-","13","1431","8623.0055","2251.528","6371.4775","-","4-xCHUMELAx"
"EdlyCruz","5","5","1","0","1","1","52.559372","0","0","2","0","byplayer","0","0","88.72367","6","1385","5804.5815","1584.6538","4219.9277","-","5-EdlyCruz"
"FellipeVicente","6","8","0","0","0","0","36.06114","0","0","1","0","byplayer","0","0","-","7","1349","10738.85606","829.60706","9909.249","-","6-FellipeVicente"
"Doomed_Aim","7","2","3","0","1","2","428.7737","0","0","1","7","byplayer","0","0","283.69528","15","1343","5000.0083","1147.8315","3852.1768","-","7-Doomed_Aim"
"Destr0yyy","8","9","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","3","1185","4678.0688","3183.5327","1494.5361","-","8-Destr0yyy"
"Pavanelli-ZO","9","10","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","10","1034","5271.3459","1745.0275","3526.3184","-","9-Pavanelli-ZO"
"xandexande","10","11","0","0","0","0","0","0","0","0","2","byzone","0","0","-","6","997","1710.81336","1351.2605","359.55286","-","10-xandexande"
"Al3Mrcs","11","12","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","5","969","5230.67856","722.41486","4508.2637","-","11-Al3Mrcs"
"xA_N_D_R_Ex","12","6","1","0","1","0","205.90901","0","0","0","1","byplayer","0","0","35.197357","11","963","76.678085","76.678085","-","-","12-xA_N_D_R_Ex"
"Gambin-Metaleiro","13","13","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","4","291","333.21472","333.21472","-","-","13-Gambin-Metaleiro"
