"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"JP_bot","1","20","1","1","1","1","128.98088","0","1","0","2","alive","0","0","156.02362","6","1286","7042.8085","1552.9672","5489.8413","-","1-JP_bot-Heliton-camilo-estebanchu2-02Matheus"
"Heliton-camilo","1","8","2","1","1","1","173.36935","0","1","0","0","alive","0","0","165.06395","13","1286","4986.4611","1525.2238","3461.2373","-","1-JP_bot-Heliton-camilo-estebanchu2-02Matheus"
"estebanchu2","1","19","1","0","1","0","65.64977","1","0","0","2","alive","0","0","104.15963","7","1286","6493.188","1632.115","4861.073","-","1-JP_bot-Heliton-camilo-estebanchu2-02Matheus"
"02Matheus","1","5","3","2","1","1","424.63367","0","3","0","1","alive","0","0","318.82635","16","1286","5154.7315","1745.774","3408.9575","-","1-JP_bot-Heliton-camilo-estebanchu2-02Matheus"
"xA_N_D_R_Ex","2","1","11","11","2","1","928.783","1","9","3","5","byplayer","0","0","307.2745","8","1283","6499.9108","2495.4875","4004.4233","-","2-xA_N_D_R_Ex-psicotyco-Mati25-Gambin-Metaleiro"
"psicotyco","2","3","5","5","2","1","475","0","4","0","4","byplayer","0","0","104.9399","5","1270","8008.0501","1407.6268","6600.4233","-","2-xA_N_D_R_Ex-psicotyco-Mati25-Gambin-Metaleiro"
"Mati25","2","9","2","2","1","0","200","0","3","0","4","byplayer","0","1","26.095451","4","1222","6977.0326","1305.5682","5671.4644","-","2-xA_N_D_R_Ex-psicotyco-Mati25-Gambin-Metaleiro"
"Gambin-Metaleiro","2","37","0","0","0","0","0","0","0","1","3","byplayer","0","0","-","10","1042","3233.711","1072.5128","2161.1982","-","2-xA_N_D_R_Ex-psicotyco-Mati25-Gambin-Metaleiro"
"NaiSeRTah","3","38","0","0","0","0","18.9","0","0","2","0","suicide","0","0","-","0","1058","3097.11131","2889.5894","-","207.52191","3-NaiSeRTah-42sadfdwh-Vic_heka21-Lol_lypopz"
"42sadfdwh","3","2","6","6","1","0","608.9966","0","4","1","2","byplayer","0","0","75.58023","0","1326","3144.5789","3144.5789","-","-","3-NaiSeRTah-42sadfdwh-Vic_heka21-Lol_lypopz"
"Vic_heka21","3","40","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","417","434.52118","-","-","434.52118","3-NaiSeRTah-42sadfdwh-Vic_heka21-Lol_lypopz"
"Lol_lypopz","3","39","0","0","0","0","0","0","1","0","0","suicide","0","0","-","0","739","1676.24427","1566.2404","-","110.00387","3-NaiSeRTah-42sadfdwh-Vic_heka21-Lol_lypopz"
"Luo_di99","4","22","1","1","1","1","68.599976","0","0","0","0","byzone","0","0","-","0","1306","3321.5142","3321.5142","-","-","4-Luo_di99-JOLLiBaBd-fhangyisixiang5-Techniq_o"
"JOLLiBaBd","4","42","0","0","0","0","0","0","0","2","2","byzone","0","0","-","0","1325","4384.337","4384.337","-","-","4-Luo_di99-JOLLiBaBd-fhangyisixiang5-Techniq_o"
"fhangyisixiang5","4","41","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","0","1325","3494.953","3494.953","-","-","4-Luo_di99-JOLLiBaBd-fhangyisixiang5-Techniq_o"
"Techniq_o","4","21","1","1","1","0","9.999844","0","0","0","0","byzone","0","0","-","0","1325","3633.2883","3633.2883","-","-","4-Luo_di99-JOLLiBaBd-fhangyisixiang5-Techniq_o"
"Jman644_4","5","43","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","0","1278","4547.2158","3022.598","-","1524.6178","5-Jman644_4-LhploveLy_h-Plz_Standup-PopZe_ng"
"LhploveLy_h","5","46","0","0","0","0","33.30532","0","0","0","0","byplayer","0","0","-","0","456","266.83502","266.83502","-","-","5-Jman644_4-LhploveLy_h-Plz_Standup-PopZe_ng"
"Plz_Standup","5","44","0","0","0","0","0","0","0","2","0","suicide","0","0","-","0","1160","1022.51836","103.0988","-","919.41956","5-Jman644_4-LhploveLy_h-Plz_Standup-PopZe_ng"
"PopZe_ng","5","45","0","0","0","0","0","0","0","0","3","suicide","0","0","-","0","1073","309.777","-","-","309.777","5-Jman644_4-LhploveLy_h-Plz_Standup-PopZe_ng"
"JDQS0_77","6","49","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","347","114.65695","114.65695","-","-","6-JDQS0_77-Kurricanesherr-AMIRRA__78-mHt_t"
"Kurricanesherr","6","47","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","667","1958.1997","1958.1997","-","-","6-JDQS0_77-Kurricanesherr-AMIRRA__78-mHt_t"
"AMIRRA__78","6","48","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","630","1213.8939","1213.8939","-","-","6-JDQS0_77-Kurricanesherr-AMIRRA__78-mHt_t"
"mHt_t","6","4","4","4","2","1","226.3595","0","2","0","2","byplayer","0","0","0.94696736","0","1167","1712.7662","-","-","1712.7662","6-JDQS0_77-Kurricanesherr-AMIRRA__78-mHt_t"
"Tanit_su","7","52","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","335","58.151573","58.151573","-","-","7-Tanit_su-JYE_YEBABA-Pugalgal_77_25-Kr__hang"
"JYE_YEBABA","7","10","2","2","1","0","349.01932","0","1","2","2","byplayer","0","0","112.46028","0","1151","2543.3926","2543.3926","-","-","7-Tanit_su-JYE_YEBABA-Pugalgal_77_25-Kr__hang"
"Pugalgal_77_25","7","51","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","462","547.6926","547.6926","-","-","7-Tanit_su-JYE_YEBABA-Pugalgal_77_25-Kr__hang"
"Kr__hang","7","50","0","0","0","0","107.217224","0","0","1","0","byplayer","0","0","-","0","585","497.52414","-","-","497.52414","7-Tanit_su-JYE_YEBABA-Pugalgal_77_25-Kr__hang"
"OAWllL5","8","53","0","0","0","0","0","0","0","1","0","byplayer","0","0","-","0","1100","2905.8494","2905.8494","-","-","8-OAWllL5-jeeny_yy-Jin_1_3274-MCVcc_tv"
