"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Druida778","1","2","6","0","4","1","672.9424","0","5","2","3","byplayer","0","0","117.51236","4","497","1193.9644","1193.9644","-","-","1-Druida778-Leo_sf-xSANGIx-KoddaDark"
"Leo_sf","1","15","1","0","1","0","137.3304","1","0","0","2","byplayer","1","0","8.322806","6","351","438.04507","438.04507","-","-","1-Druida778-Leo_sf-xSANGIx-KoddaDark"
"xSANGIx","1","1","6","0","1","0","463.0601","1","3","1","3","alive","0","0","143.84276","5","891","2409.0657","2409.0657","-","-","1-Druida778-Leo_sf-xSANGIx-KoddaDark"
"KoddaDark","1","5","3","0","2","2","312.68622","1","3","10","5","alive","1","0","94.179855","5","891","2330.7473","2330.7473","-","-","1-Druida778-Leo_sf-xSANGIx-KoddaDark"
"G_R_E_G_O_R_I_O","2","4","4","1","1","0","536.3312","3","3","5","2","byplayer","1","0","172.44356","10","822","1805.5992","1805.5992","-","-","2-G_R_E_G_O_R_I_O-ShureK-ARCANJOWW-GodsmackBR"
"ShureK","2","6","3","0","2","1","300.22913","2","1","7","3","byplayer","0","0","163.26413","6","888","1583.1139","1583.1139","-","-","2-G_R_E_G_O_R_I_O-ShureK-ARCANJOWW-GodsmackBR"
"ARCANJOWW","2","10","2","0","1","1","227.48425","3","0","7","4","byplayer","1","0","166.90863","9","868","1536.63","1536.63","-","-","2-G_R_E_G_O_R_I_O-ShureK-ARCANJOWW-GodsmackBR"
"GodsmackBR","2","3","4","0","2","1","408.3425","0","4","6","3","byplayer","1","0","112.009964","4","883","2144.8218","2144.8218","-","-","2-G_R_E_G_O_R_I_O-ShureK-ARCANJOWW-GodsmackBR"
"Lexxero","3","11","2","0","1","0","304.5367","0","2","1","3","byplayer","0","0","26.377207","11","768","1384.8137","1384.8137","-","-","15-HEIFFERT-PERU-Lexxero-DemonousDominic-Skyness08"
"Skyness08","3","7","3","0","1","1","373.6226","0","2","1","2","byplayer","1","0","32.317013","5","774","1377.0253","1377.0253","-","-","15-HEIFFERT-PERU-Lexxero-DemonousDominic-Skyness08"
