"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"8runoxD","1","1","7","1","4","2","777.7561","1","5","5","8","alive","1","0","77.615746","5","1363","4074.7984","1663.4332","2411.3652","-","1-8runoxD-vampiro762-SGT_INTERCEPTOR-Ney-Bala-Game"
"vampiro762","1","3","4","1","1","0","386.99728","0","2","13","5","alive","3","0","81.625595","10","1363","4232.7406","1727.6083","2505.1323","-","1-8runoxD-vampiro762-SGT_INTERCEPTOR-Ney-Bala-Game"
"SGT_INTERCEPTOR","1","49","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","8","297","363.0505","363.0505","-","-","1-8runoxD-vampiro762-SGT_INTERCEPTOR-Ney-Bala-Game"
"Ney-Bala-Game","1","4","4","0","2","2","673.9192","2","3","11","6","alive","0","0","34.743988","7","1363","3856.0611","1384.6968","2471.3643","-","1-8runoxD-vampiro762-SGT_INTERCEPTOR-Ney-Bala-Game"
"El_Pichucho","2","7","3","0","3","1","446.3282","0","2","1","7","byplayer","0","0","116.33733","5","1360","1586.3566","1586.3566","-","-","2-El_Pichucho-Quevhedo-Kavelo_nde"
"Quevhedo","2","51","0","0","0","0","116.77553","0","0","0","4","byplayer","0","0","-","9","1360","1557.9126","1557.9126","-","-","2-El_Pichucho-Quevhedo-Kavelo_nde"
"Kavelo_nde","2","50","0","0","0","0","335.75488","1","1","6","7","byplayer","0","0","-","10","1360","2049.40355","1998.1299","-","51.27365","2-El_Pichucho-Quevhedo-Kavelo_nde"
"leimonx99","3","23","1","1","1","0","19.112503","0","0","9","0","byplayer","0","0","61.07014","9","1341","3215.8632","1142.1772","2073.686","-","16-Gi0-PanDora-leimonx99-DANTEJKL-Pirer"
"DANTEJKL","3","12","2","0","1","1","369.47473","1","3","4","2","byplayer","0","0","87.52863","9","1347","3825.1051","1776.4374","2048.6677","-","16-Gi0-PanDora-leimonx99-DANTEJKL-Pirer"
"Pirer","3","5","4","0","1","1","656.2398","3","3","3","5","byplayer","1","0","62.518166","7","1347","3871.5234","1586.1184","2285.405","-","16-Gi0-PanDora-leimonx99-DANTEJKL-Pirer"
"DEDE_arg","4","52","0","0","0","0","255.53041","0","3","1","4","suicide","0","0","-","12","1273","1795.1525","1795.1525","-","-","17-RafaB-sB-ANDREDIDEUS-DEDE_arg-HTM_4M"
"Kelo17","5","8","3","1","2","0","720.77936","2","4","5","3","byplayer","0","0","11.608172","3","1179","1799.05965","1629.375","-","169.68465","5-Kelo17-CookiesTHC-Daniell12-"
