"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Bradok081","1","4","1","0","1","0","132.11787","0","1","1","4","byplayer","0","0","38.371517","9","1324","2721.538","2721.538","-","-","1-Bradok081-fb-gg-MidiGamer-TEXAS3006"
"fb-gg-MidiGamer","1","3","2","0","2","0","248.02875","0","1","0","3","alive","0","0","21.530485","8","1453","2697.048","2697.048","-","-","1-Bradok081-fb-gg-MidiGamer-TEXAS3006"
"TEXAS3006","1","10","0","0","0","0","100","1","1","0","5","byzone","1","0","-","10","1341","2449.5437","2449.5437","-","-","1-Bradok081-fb-gg-MidiGamer-TEXAS3006"
"PESADO-GAMEPLAY","2","11","0","0","0","0","80.10216","2","0","2","6","byplayer","0","0","-","11","1305","4833.0305","1958.7671","2874.2634","-","2-PESADO-GAMEPLAY-xA_N_D_R_Ex-Paulao23-Doomed_Aim"
"xA_N_D_R_Ex","2","1","5","0","3","1","468.78354","1","5","3","5","byzone","0","0","227.75153","9","1450","5887.4312","2222.5452","3664.886","-","2-PESADO-GAMEPLAY-xA_N_D_R_Ex-Paulao23-Doomed_Aim"
"Paulao23","2","5","1","0","1","0","137.6052","0","1","0","7","byplayer","1","0","14.570263","4","1450","5696.7401","1860.2677","3836.4724","-","2-PESADO-GAMEPLAY-xA_N_D_R_Ex-Paulao23-Doomed_Aim"
"Doomed_Aim","2","12","0","0","0","0","115.068985","1","0","0","5","byzone","1","0","-","7","1190","4679.9136","1124.7998","3555.1138","-","2-PESADO-GAMEPLAY-xA_N_D_R_Ex-Paulao23-Doomed_Aim"
"xandexande","3","7","1","0","1","0","219.46896","0","0","2","2","byplayer","0","0","30.047905","8","1368","2367.56746","994.86646","1372.701","-","3-xandexande-SALOMON_BR-Al3Mrcs-dedel32010324"
"SALOMON_BR","3","6","1","0","1","0","122.22277","0","3","5","1","byplayer","0","0","8.771852","7","1440","2718.638","1347.7612","1370.8768","-","3-xandexande-SALOMON_BR-Al3Mrcs-dedel32010324"
"Al3Mrcs","3","14","0","0","0","0","155.8563","1","0","0","3","byplayer","0","0","-","9","1440","2795.3845","1417.9033","1377.4812","-","3-xandexande-SALOMON_BR-Al3Mrcs-dedel32010324"
"dedel32010324","3","13","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","3","1440","2527.9287","1152.0146","1375.9141","-","3-xandexande-SALOMON_BR-Al3Mrcs-dedel32010324"
"Brock-br","4","9","1","0","1","1","248.12076","0","2","1","4","byplayer","1","0","23.291954","10","1176","5050.9079","1824.1323","3226.7756","-","4-Brock-br-WF_PROZIN-CUSEKO-ComedordeABOBA"
"WF_PROZIN","4","8","1","0","1","0","350.20538","0","1","1","3","byplayer","1","0","232.16537","9","1233","4984.8106","1684.398","3300.4126","-","4-Brock-br-WF_PROZIN-CUSEKO-ComedordeABOBA"
"CUSEKO","4","15","0","0","0","0","118.852554","1","0","3","5","byplayer","0","0","-","10","1182","5240.2701","2002.9725","3237.2976","-","4-Brock-br-WF_PROZIN-CUSEKO-ComedordeABOBA"
"ComedordeABOBA","4","2","3","0","1","1","438.74805","0","3","1","3","byplayer","0","0","190.1972","12","1175","5333.963","1758.3483","3575.6147","-","4-Brock-br-WF_PROZIN-CUSEKO-ComedordeABOBA"
"STR4T_FPS","5","18","0","0","0","0","414.4729","0","2","2","1","byplayer","1","0","-","6","841","3915.8314","1083.2344","2832.597","-","5-STR4T_FPS-MESTRE-M-BRP28-OKiNGTATiCO"
"MESTRE-M","5","17","0","0","0","0","0","0","0","2","2","byplayer","0","0","-","8","857","3939.5874","1261.5564","2678.031","-","5-STR4T_FPS-MESTRE-M-BRP28-OKiNGTATiCO"
"BRP28","5","16","0","0","0","0","0","0","0","4","1","byplayer","1","0","-","4","857","3628.97255","984.32385","2644.6487","-","5-STR4T_FPS-MESTRE-M-BRP28-OKiNGTATiCO"
"OKiNGTATiCO","5","19","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","8","705","3701.9871","1101.3579","2600.6292","-","5-STR4T_FPS-MESTRE-M-BRP28-OKiNGTATiCO"
