"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"WF_PROZIN","1","8","0","0","0","0","30.00924","1","0","0","6","alive","0","0","-","7","1374","4986.8913","2512.049","2474.8423","-","1-WF_PROZIN-CUSEKO-Brock-br-ComedordeABOBA"
"CUSEKO","1","2","2","0","1","0","176.75371","1","1","0","0","alive","0","0","337.58636","8","1374","5313.0437","3043.6812","2269.3625","-","1-WF_PROZIN-CUSEKO-Brock-br-ComedordeABOBA"
"Brock-br","1","1","3","0","3","0","366.316","0","2","1","3","alive","0","0","6.1989765","11","1374","5355.0813","3107.7876","2247.2937","-","1-WF_PROZIN-CUSEKO-Brock-br-ComedordeABOBA"
"ComedordeABOBA","1","5","1","0","1","0","86.65737","0","1","0","6","alive","0","0","346.9964","8","1374","5880.357","2883.135","2997.222","-","1-WF_PROZIN-CUSEKO-Brock-br-ComedordeABOBA"
"Doomed_Aim","2","12","0","0","0","0","92.394775","0","0","0","3","byplayer","0","0","-","7","992","285.47693","285.47693","-","-","2-Doomed_Aim-xA_N_D_R_Ex-Paulao23-PESADO-GAMEPLAY"
"xA_N_D_R_Ex","2","9","0","0","0","0","52.77876","0","0","0","5","byplayer","0","0","-","11","1371","2341.4339","1642.6703","698.7636","-","2-Doomed_Aim-xA_N_D_R_Ex-Paulao23-PESADO-GAMEPLAY"
"Paulao23","2","10","0","0","0","0","21.285","0","0","0","2","byplayer","0","0","-","4","1027","7075.0398","1918.8992","5156.1406","-","2-Doomed_Aim-xA_N_D_R_Ex-Paulao23-PESADO-GAMEPLAY"
"PESADO-GAMEPLAY","2","11","0","0","0","0","17.954998","0","0","1","3","byplayer","0","0","-","7","994","6267.0929","1697.3589","4569.734","-","2-Doomed_Aim-xA_N_D_R_Ex-Paulao23-PESADO-GAMEPLAY"
"OKiNGTATiCO","3","13","0","0","0","0","0","0","0","6","6","suicide","0","0","-","9","1308","5835.4276","1717.1791","4118.2485","-","3-OKiNGTATiCO-MESTRE-M-BRP28-STR4T_FPS"
"MESTRE-M","3","14","0","0","0","0","0","0","0","1","4","byzone","0","0","-","9","1307","5877.4714","1884.4702","3993.0012","-","3-OKiNGTATiCO-MESTRE-M-BRP28-STR4T_FPS"
"BRP28","3","6","1","0","1","0","67.66522","0","1","1","3","byzone","0","0","36.262566","5","1308","1760.5423","1078.5542","681.9881","-","3-OKiNGTATiCO-MESTRE-M-BRP28-STR4T_FPS"
"STR4T_FPS","3","3","2","0","1","0","261.26553","0","1","1","2","byplayer","0","0","91.747246","10","1308","1728.525","858.3172","870.2078","-","3-OKiNGTATiCO-MESTRE-M-BRP28-STR4T_FPS"
"Al3Mrcs","4","4","2","0","1","0","198","0","2","0","0","byplayer","0","0","16.57117","7","1044","2840.66027","2396.187","444.47327","-","4-Al3Mrcs-SALOMON_BR-xandexande-dedel32010324"
"SALOMON_BR","4","7","1","0","1","0","102.64506","1","1","0","5","byplayer","0","0","107.23074","7","1146","2970.39974","2450.3008","520.09894","-","4-Al3Mrcs-SALOMON_BR-xandexande-dedel32010324"
"xandexande","4","16","0","0","0","0","112.35035","1","0","0","4","byplayer","0","0","-","12","990","2512.4829","1991.4583","521.0246","-","4-Al3Mrcs-SALOMON_BR-xandexande-dedel32010324"
"dedel32010324","4","15","0","0","0","0","0","0","0","1","1","suicide","0","0","-","10","1087","2661.9023","1986.8579","675.0444","-","4-Al3Mrcs-SALOMON_BR-xandexande-dedel32010324"
"Bradok081","5","18","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","173","219.37549","219.37549","-","-","5-Bradok081-TEXAS3006-fb-gg-MidiGamer"
"TEXAS3006","5","19","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","173","192.53879","192.53879","-","-","5-Bradok081-TEXAS3006-fb-gg-MidiGamer"
"fb-gg-MidiGamer","5","17","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","2","173","168.0898","168.0898","-","-","5-Bradok081-TEXAS3006-fb-gg-MidiGamer"
