"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"ComedordeABOBA","1","1","6","0","3","0","907.62054","3","6","0","7","alive","1","0","70.43969","15","1530","4528.7607","2456.583","2072.1777","-","1-ComedordeABOBA-CUSEKO-Brock-br-WF_PROZIN"
"CUSEKO","1","3","2","0","1","0","236.1607","3","1","1","2","alive","0","0","144.89575","9","1530","4152.2031","3026.4382","1125.7649","-","1-ComedordeABOBA-CUSEKO-Brock-br-WF_PROZIN"
"Brock-br","1","4","2","0","1","0","351.0037","1","1","2","6","alive","0","0","104.69123","7","1530","3503.1944","1904.8997","1598.2947","-","1-ComedordeABOBA-CUSEKO-Brock-br-WF_PROZIN"
"WF_PROZIN","1","2","2","0","1","2","323.32526","1","2","0","3","alive","0","0","251.24686","9","1530","3822.6717","2289.4507","1533.221","-","1-ComedordeABOBA-CUSEKO-Brock-br-WF_PROZIN"
"PESADO-GAMEPLAY","2","6","1","0","1","1","68.04851","0","1","2","5","byplayer","1","0","26.718307","11","1500","5589.0924","1883.3834","3705.709","-","2-PESADO-GAMEPLAY-Paulao23-Doomed_Aim-xA_N_D_R_Ex"
"Paulao23","2","7","0","0","0","0","201.59198","1","1","1","6","byplayer","1","0","-","8","1460","5399.2003","1592.9105","3806.2898","-","2-PESADO-GAMEPLAY-Paulao23-Doomed_Aim-xA_N_D_R_Ex"
"Doomed_Aim","2","5","2","0","2","1","366.4399","1","3","4","7","byplayer","1","0","58.90642","7","1527","6924.627","2846.7654","4077.8616","-","2-PESADO-GAMEPLAY-Paulao23-Doomed_Aim-xA_N_D_R_Ex"
"xA_N_D_R_Ex","2","8","0","0","0","0","66.95759","0","0","6","8","byplayer","2","0","-","9","1420","6026.1665","2480.4058","3545.7607","-","2-PESADO-GAMEPLAY-Paulao23-Doomed_Aim-xA_N_D_R_Ex"
"OKiNGTATiCO","3","12","0","0","0","0","61.52475","0","0","1","7","byplayer","0","0","-","8","1363","6683.1536","1529.5596","5153.594","-","3-OKiNGTATiCO-MESTRE-M-BRP28-STR4T_FPS"
"MESTRE-M","3","11","0","0","0","0","0","0","0","2","10","byplayer","0","0","-","6","1442","6595.796","1587.561","5008.235","-","3-OKiNGTATiCO-MESTRE-M-BRP28-STR4T_FPS"
"BRP28","3","9","0","0","0","0","26.30059","0","0","3","6","byplayer","1","0","-","4","1442","6299.5025","1628.1125","4671.39","-","3-OKiNGTATiCO-MESTRE-M-BRP28-STR4T_FPS"
"STR4T_FPS","3","10","0","0","0","0","219.25075","0","2","1","6","byplayer","1","0","-","12","1442","7067.1557","1842.7177","5224.438","-","3-OKiNGTATiCO-MESTRE-M-BRP28-STR4T_FPS"
"Al3Mrcs","4","16","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","5","1203","5266.5234","1370.4641","3896.0593","-","4-Al3Mrcs-SALOMON_BR-xandexande-dedel32010324"
"SALOMON_BR","4","13","0","0","0","0","100.00001","0","1","0","2","byplayer","0","0","-","8","1318","7122.7493","1262.0283","5860.721","-","4-Al3Mrcs-SALOMON_BR-xandexande-dedel32010324"
"xandexande","4","15","0","0","0","0","59.756195","0","0","0","4","byplayer","0","0","-","5","1217","5883.4599","1137.1559","4746.304","-","4-Al3Mrcs-SALOMON_BR-xandexande-dedel32010324"
"dedel32010324","4","14","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","14","1218","5445.3455","1490.5511","3954.7944","-","4-Al3Mrcs-SALOMON_BR-xandexande-dedel32010324"
"TEXAS3006","5","19","0","0","0","0","0","0","0","3","10","byplayer","1","0","-","11","1058","4530.34113","1836.7981","2511.9036","181.63943","5-TEXAS3006-Bradok081-fb-gg-MidiGamer"
"Bradok081","5","17","0","0","0","0","18.403873","0","0","2","7","byplayer","0","0","-","7","1059","4087.18198","1864.1289","2069.4338","153.61928","5-TEXAS3006-Bradok081-fb-gg-MidiGamer"
"fb-gg-MidiGamer","5","18","0","0","0","0","0","0","0","4","7","byplayer","0","0","-","12","1058","4574.55736","1906.3036","2464.8796","203.37416","5-TEXAS3006-Bradok081-fb-gg-MidiGamer"
